****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 512x2335
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.049	Loglikelihood: -438958	(delta): 1.20512e+06
2 (EM) 	Elapsed: 0.058	Loglikelihood: -418922	(delta): 20036.1
3 (EM) 	Elapsed: 0.047	Loglikelihood: -414747	(delta): 4174.64
4 (EM) 	Elapsed: 0.049	Loglikelihood: -412514	(delta): 2232.92
5 (EM) 	Elapsed: 0.048	Loglikelihood: -411159	(delta): 1355.31
Initial loglikelihood: -411159
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.113	Loglikelihood: -391808	(delta): 19350.9
2 (QN/Block) 	Elapsed: 0.114	Loglikelihood: -375491	(delta): 16317.2
3 (QN/Block) 	Elapsed: 0.122	Loglikelihood: -369282	(delta): 6209.21
4 (QN/Block) 	Elapsed: 0.116	Loglikelihood: -363871	(delta): 5410.76
5 (QN/Block) 	Elapsed: 0.114	Loglikelihood: -361536	(delta): 2334.6
6 (QN/Block) 	Elapsed: 0.119	Loglikelihood: -361300	(delta): 236.81
7 (QN/Block) 	Elapsed: 0.117	Loglikelihood: -361236	(delta): 63.6966
8 (QN/Block) 	Elapsed: 0.109	Loglikelihood: -361217	(delta): 18.5938
9 (QN/Block) 	Elapsed: 0.109	Loglikelihood: -361214	(delta): 3.27562
10 (QN/Block) 	Elapsed: 0.119	Loglikelihood: -361214	(delta): 0.0639529
11 (QN/Block) 	Elapsed: 0.124	Loglikelihood: -361214	(delta): 0.00545901
12 (QN/Block) 	Elapsed: 0.111	Loglikelihood: -361214	(delta): 0.000278334
13 (QN/Block) 	Elapsed: 0.114	Loglikelihood: -361214	(delta): 3.69e-05
14 (QN/Block) 	Elapsed: 0.111	Loglikelihood: -361214	(delta): 1.5259e-05
15 (QN/Block) 	Elapsed: 0.111	Loglikelihood: -361214	(delta): 4.13624e-07
16 (QN/Block) 	Elapsed: 0.115	Loglikelihood: -361214	(delta): 1.24564e-08
17 (QN/Block) 	Elapsed: 0.109	Loglikelihood: -361214	(delta): 1.5134e-09
18 (QN/Block) 	Elapsed: 0.118	Loglikelihood: -361214	(delta): 2.91038e-10
19 (QN/Block) 	Elapsed: 0.107	Loglikelihood: -361214	(delta): 0
20 (QN/Block) 	Elapsed: 0.111	Loglikelihood: -361214	(delta): -1.16415e-10
